Species, Wavelength, Priority
"Co I", 3728.841, 1
"Co I", 3730.473, 1
"Co I", 3732.387, 1
"Co I", 3734.135, 1
"Co I", 3735.924, 1
"Co I", 3754.342, 1
"Co I", 3755.443, 1
"Co I", 3805.77, 1
"Co I", 3808.097, 1
"Co I", 3812.466, 1
"Co I", 3813.922, 1
"Co I", 3816.454, 1
"Co I", 3817.936, 1
"Co I", 3835.685, 1
"Co I", 3841.457, 1
"Co I", 3842.043, 1
"Co I", 3843.692, 1
"Co I", 3845.464, 1
"Co I", 3851.844, 1
"Co I", 3861.16, 1
"Co I", 3873.116, 1
"Co I", 3873.949, 1
"Co I", 3876.827, 1
"Co I", 3881.865, 1
"Co I", 3884.596, 1
"Co I", 3894.068, 1
"Co I", 3894.972, 1
"Co I", 3906.282, 1
"Co I", 3909.929, 1
"Co I", 3915.498, 1
"Co I", 3935.958, 1
"Co I", 3941.724, 1
"Co I", 3945.322, 1
"Co I", 3947.121, 1
"Co I", 3952.323, 1
"Co I", 3952.913, 1
"Co I", 3957.625, 1
"Co I", 3957.924, 1
"Co I", 3965.236, 1
"Co I", 3973.14, 1
"Co I", 3974.721, 1
"Co I", 3978.646, 1
"Co I", 3978.86, 1
"Co I", 3979.514, 1
"Co I", 3990.295, 1
"Co I", 3991.525, 1
"Co I", 3991.679, 1
"Co I", 3991.828, 1
"Co I", 3994.538, 1
"Co I", 3995.302, 1
"Co I", 3997.897, 1
"Co I", 4011.086, 1
"Co I", 4013.938, 1
"Co I", 4019.285, 1
"Co I", 4020.895, 1
"Co I", 4027.028, 1
"Co I", 4035.539, 1
"Co I", 4045.382, 1
"Co I", 4057.192, 1
"Co I", 4058.595, 1
"Co I", 4066.361, 1
"Co I", 4068.537, 1
"Co I", 4076.131, 1
"Co I", 4082.602, 1
"Co I", 4086.295, 1
"Co I", 4088.298, 1
"Co I", 4090.349, 1
"Co I", 4092.382, 1
"Co I", 4092.848, 1
"Co I", 4110.528, 1
"Co I", 4118.769, 1
"Co I", 4121.314, 1
"Co I", 4187.242, 1
"Co I", 4190.707, 1
"Co I", 4252.297, 1
"Co I", 4268.032, 1
"Co I", 4417.393, 1
"Co I", 4421.333, 1
"Co I", 4431.604, 1
"Co I", 4441.947, 1
"Co I", 4445.044, 1
"Co I", 4445.708, 1
"Co I", 4469.542, 1
"Co I", 4471.545, 1
"Co I", 4477.208, 1
"Co I", 4478.315, 1
"Co I", 4484.509, 1
"Co I", 4486.701, 1
"Co I", 4492.072, 1
"Co I", 4519.279, 1
"Co I", 4527.934, 1
"Co I", 4530.946, 1
"Co I", 4543.804, 1
"Co I", 4561.944, 1
"Co I", 4570.021, 1
"Co I", 4579.338, 1
"Co I", 4581.592, 1
"Co I", 4588.7, 1
"Co I", 4594.628, 1
"Co I", 4596.9, 1
"Co I", 4608.912, 1
"Co I", 4620.82, 1
"Co I", 4624.557, 1
"Co I", 4625.764, 1
"Co I", 4628.904, 1
"Co I", 4640.804, 1
"Co I", 4643.729, 1
"Co I", 4644.313, 1
"Co I", 4657.386, 1
"Co I", 4663.398, 1
"Co I", 4677.246, 1
"Co I", 4685.853, 1
"Co I", 4693.185, 1
"Co I", 4699.188, 1
"Co I", 4704.382, 1
"Co I", 4727.932, 1
"Co I", 4732.05, 1
"Co I", 4737.769, 1
"Co I", 4746.111, 1
"Co I", 4749.676, 1
"Co I", 4754.354, 1
"Co I", 4756.718, 1
"Co I", 4767.138, 1
"Co I", 4768.068, 1
"Co I", 4771.104, 1
"Co I", 4781.428, 1
"Co I", 4785.067, 1
"Co I", 4792.851, 1
"Co I", 4795.849, 1
"Co I", 4796.374, 1
"Co I", 4813.472, 1
"Co I", 4813.961, 1
"Co I", 4840.25, 1
"Co I", 4863.458, 1
"Co I", 4867.865, 1
"Co I", 4880.281, 1
"Co I", 4882.699, 1
