wavelength, species, priority
2001.0442, Ni XI, 13.6
2004.1899, S II, 3.08
2005.861, Ne V, 14.5
2007.6639, Fe II, 2.25
2008.09, Fe II, 4.2
2008.358, Fe II, 5.08
2013.91, Fe II, 4.56
2016.015, Fe VII, 5.04
2016.137, Fe II, 9.66
2016.731, Fe II, 1.48
2017.745, Fe II, 3.9
2021.401, Fe II, 19.3
2028.849, Fe II, 8.43
2029.672, Ne III *, 27.5
2031.881, Fe II, 7.45
2034.344, Fe II, 1.42
2038.429, Fe II, 6.46
2040.121, Fe II, 17.1
2043.0132, Fe IX, 63.5
2043.043, Ne VI, 2.74
2043.976, Fe II, 6.98
2056.5959, Ne VI, 1.32
2058.634, Si II, 13.1
2059.3049, Si II, 118.0
2059.6731, Si II, 65.7
2062.866, Si II, 8.22
2063.489, Si II, 4.16
2064.5156, Fe IX, 7.5
2072.467, Fe II, 29.9
2072.676, Si II, 75.7
2072.6931, S III, 7.14
2073.356, Si II, 5.4
2073.3621, Si II, 110.0
2074.4343, Fe VIII *, 12.3
2082.1431, Al II, 61.0
2085.501, S III, 7.22
2085.9707, Ni XV, 23.6
2087.5271, Al II, 102.0
2088.5591, Co XXII, 41.8
2089.499, Fe II, 9.75
2089.7849, S III, 82.2
2091.573, Cr XIX, 705.0
2097.9919, S III, 57.7
2098.2141, Fe II, 2.84
2098.512, S III, 41.5
2103.4431, Fe V, 1.69
2108.4619, Fe II, 8.71
2111.3931, Fe II, 10.2
2111.6465, Ca VII, 1.18
2112.0259, S III, 1.56
2117.6631, Fe II, 4.99
2117.7949, Ti XIV, 5.45
2121.77, Fe II, 2.0
2124.4993, Fe VIII *, 6.92
2126.175, Ni XIII, 22.1
2130.927, Fe II, 22.4
2139.687, N II, 365.0
2139.991, Fe II, 9.43
2143.4519, N II, 900.0
2143.7061, Fe VII, 1.22
2147.4014, Si VII, 47.0
2148.3799, Fe II, 3.3
2149.8481, Ni XI, 6.39
2149.9868, Si IX, 59.2
2150.6011, Ne III, 2.62
2151.3811, Ne III, 3.88
2151.9409, Ne III, 1.7
2157.0825, SX, 14.7
2157.605, Ne III *, 2.57
2157.6931, Ne III *, 3.3
2157.738, Ne III *, 1.8
2158.896, Ne III *, 5.77
2159.0259, Ne III *, 4.28
2159.114, Ne III *, 1.1
2160.877, Ne III *, 10.8
2161.0491, Ne III *, 2.88
2161.8401, Fe II, 2.47
2165.0149, Fe II, 19.0
2168.5591, Fe II, 1.85
2169.762, Fe XII, 20.6
2174.373, Fe II, 12.5
2174.4231, S III, 13.7
2174.9951, Ne III, 17.8
2176.375, Ne III, 3.24
2178.3921, Ne III, 9.21
2179.354, Ne III, 3.12
2180.6919, Fe X, 1.12
2181.791, Fe VI, 1.05
2182.8857, Fe VIII *, 6.88
2183.9189, Ne III, 4.02
2185.3799, Fe II, 6.11
2185.7959, Ni XIV, 37.2
2200.9651, S III, 1.75
2210.6431, Si III, 1.75
2212.0508, SX, 7.72
2212.51, Ne III, 2.75
2214.345, Fe II, 15.1
2214.427, Ne III, 3.72
2215.198, Ca VI, 1.75
2216.752, Ne III, 4.74
2218.822, Ne III *, 1.61
2220.585, Fe II, 12.9
2221.8579, Fe II, 10.5
2222.4519, Ne III *, 3.86
2223.239, Ne III *, 2.29
2224.179, Fe II, 8.88
2237.501, S III, 1.83
2243.615, Co XXI, 2.56
2245.6812, SX, 7.92
2248.4651, Ne VI, 2.33
2253.9221, Ne VI, 6.83
2260.2739, Ne V, 3.32
2262.5249, Mg VII, 1.99
2263.9541, Ne III, 1.53
2264.0959, Ne V, 1.31
2266.396, Ne V, 7.02
2270.988, S IV, 18.8
2271.22, S IV, 2.03
2271.4878, CV, 76.7
2271.72, S IV, 9.87
2272.781, Ne III *, 3.96
2277.866, CV, 14.5
2278.5151, CV, 28.8
2288.4651, Ne III *, 17.7
2294.4751, Fe II, 2.93
2294.5591, Fe II, 2.26
2295.3191, Fe II, 4.34
2297.5779, C III, 31200.0
2298.0042, Fe XXI, 31600.0
2305.446, Fe II, 6.2
2318.093, Fe II, 1.1
2319.0569, Fe II, 1.45
2321.0784, Fe IX, 2.54
2321.283, Fe VI, 1.29
2321.2913, Ni XIV, 1.65
2321.6641, O III, 3.52
2322.4041, Fe II, 1.11
2323.0439, Fe II, 6.74
2324.218, C II, 39.1
2325.407, C II, 629.0
2326.0149, Fe II, 9.06
2326.1169, C II, 1480.0
2327.6489, C II, 120.0
2328.1111, Fe II, 67.3
2328.677, Fe II, 15.4
2328.842, C II, 744.0
2329.231, Si II, 6.14
2331.781, Fe II, 12.0
2332.022, Fe II, 11.9
2333.5161, Fe II, 191.0
2335.123, Si II, 492.0
2335.321, Si II, 749.0
2338.7251, Fe II, 99.1
2344.2141, Fe II, 383.0
2344.678, Fe II, 14.6
2344.9199, Si II, 281.0
2345.001, Fe II, 70.0
2345.22, Ti XIX, 4.29
2346.0569, Fe II, 37.2
2348.834, Fe II, 278.0
2349.022, Fe II, 133.0
2350.7329, Si VII, 10.9
2350.8921, Si II, 410.0
2351.9209, Fe II, 29.9
2355.199, Fe II, 24.3
2355.6101, Fe II, 10.5
2355.937, Fe II, 1.71
2359.8279, Fe II, 42.8
2359.854, Fe II, 19.4
2360.3191, Fe II, 2.26
2360.7209, Fe II, 35.1
2361.0149, Fe II, 172.0
2362.448, Fe II, 1.73
2362.7419, Fe II, 83.3
2363.512, Al VIII, 2.04
2365.552, Fe II, 106.0
2367.3159, Fe II, 54.0
2367.5911, Fe II, 10.9
2369.3191, Fe II, 108.0
2369.7849, Fe VIII *, 1.29
2371.2219, Fe II, 41.0
2373.5139, Fe II, 2.01
2374.4609, Fe II, 134.0
2375.918, Fe II, 65.9
2380.001, Fe II, 30.0
2381.489, Fe II, 17.2
2382.7649, Fe II, 838.0
2383.085, Fe II, 10.2
2383.7881, Fe II, 24.6
2383.9709, Fe II, 35.2
2384.1924, Fe IX, 29.0
2385.115, Fe II, 26.3
2385.7319, Fe II, 14.1
2387.7119, S IV, 28.1
2388.9561, Fe II, 18.6
2389.3579, Fe II, 194.0
2391.1609, O III, 2.81
2392.2061, Fe II, 3.01
2396.1499, Fe II, 33.8
2396.356, Fe II, 569.0
2399.52, S IV, 50.9
2399.7791, S IV, 5.5
2399.9629, Fe II, 1.88
2399.9729, Fe II, 195.0
2400.3879, Ni XII, 1.57
2403.3301, Fe II, 1.47
2405.1641, Fe II, 30.2
2405.6189, Fe II, 358.0
2406.4141, Fe XII, 185.0
2407.394, Fe II, 157.0
2411.2529, Fe II, 198.0
2411.802, Fe II, 105.0
2413.605, Ca V, 1.09
2414.0449, Fe II, 84.7
2417.678, Mg V, 2.72
2420.6279, Fe II, 8.8
2421.6052, Fe XI, 6.5
2423.4241, Fe II, 7.08
2423.9451, Fe II, 8.92
2424.8831, Fe II, 126.0
2425.3269, Fe II, 21.9
2425.387, Fe II, 11.6
2429.03, Fe II, 42.2
2429.1021, Fe II, 88.4
2429.5359, Fe II, 10.3
2429.7729, Fe II, 6.41
2430.125, Fe II, 19.5
2430.248, Fe II, 8.79
2430.311, Al VI, 1.71
2430.8169, Fe II, 95.7
2430.9241, Fe II, 8.96
2430.9419, Fe II, 7.18
2432.999, Fe II, 72.9
2435.1479, Fe II, 6.5
2435.385, Fe II, 6.5
2435.6909, Fe II, 54.1
2436.959, Fe II, 8.04
2438.012, Fe II, 3.29
2440.042, Fe II, 157.0
2441.1631, Fe II, 54.4
2445.2571, Fe II, 73.7
2446.314, Fe II, 39.4
2446.5381, Fe II, 36.1
2446.8511, Fe II, 8.96
2447.946, Fe II, 11.7
2448.0681, Fe II, 6.72
2448.3081, Fe II, 6.72
2450.7061, Fe II, 9.09
2450.947, Fe II, 22.7
2451.9609, Fe II, 10.3
2455.709, O III, 107.0
2457.564, Fe II, 7.72
2458.2959, Fe II, 8.58
2458.5381, Fe II, 1.34
2459.5281, Fe II, 134.0
2459.717, Fe II, 16.9
2462.0281, Fe II, 85.7
2462.6069, Fe II, 107.0
2464.0271, Fe II, 58.3
2464.4651, Fe II, 7.11
2464.7571, Fe II, 45.9
2465.6509, Fe II, 25.5
2465.948, Fe II, 14.4
2466.658, Fe II, 34.3
2467.4189, Fe II, 29.4
2467.5669, Fe II, 40.6
2469.0029, Fe II, 22.0
2470.262, Fe II, 31.3
2470.9709, O II, 1.06
2471.092, O II, 5.17
2471.156, Fe II, 4.09
2471.417, Fe II, 60.3
2473.178, Fe II, 10.0
2474.0701, Fe II, 15.5
2475.5139, Fe II, 5.34
2479.321, Fe II, 12.7
2480.907, Fe II, 91.6
2482.8679, Fe II, 9.88
2483.407, Fe II, 6.24
2487.103, Fe II, 3.88
2490.2351, Fe II, 14.3
2490.582, Fe II, 104.0
2491.2419, S III, 11.5
2491.6111, Fe II, 10.3
2492.1489, Fe II, 7.95
2493.936, Fe II, 244.0
2493.9751, Fe II, 5.92
2494.0139, Fe II, 245.0
2498.573, Fe II, 48.9
2498.8425, Fe IX, 119.0
2499.6509, Fe II, 223.0
2503.147, Fe II, 59.3
2504.3201, Fe II, 14.1
2506.8491, Fe II, 77.5
2507.78, Fe II, 5.84
2509.75, Mg VII, 4.54
2509.886, C II, 216.0
2512.4961, C II, 42.5
2512.5181, Fe II, 185.0
2512.8191, C II, 387.0
2514.1599, Fe II, 5.77
2517.978, Fe II, 7.71
2522.959, Fe II, 10.1
2526.1479, Fe II, 192.0
2526.835, Fe II, 7.77
2527.0549, Fe II, 49.9
2527.864, Fe II, 10.6
2530.3059, Fe II, 111.0
2530.3191, Fe II, 5.92
2534.3889, Fe II, 198.0
2534.6663, Fe VIII *, 2.8
2535.1809, Fe II, 107.0
2536.249, Fe II, 10.3
2537.5681, Fe II, 128.0
