Wavelength, Species, Priority
3651.0, Hg, 1.0
3663.0, Hg, 1.0
3726.05, OII_DN_127_blend, 1.0
3728.8, OII_DN_127_blend, 1.0
3868.76, NeIII_DN_20, 1.0
3888.65, He_I_DN_18_blend, 1.0
3889.05, HI_DN_18_blend, 1.0
3967.47, Ne_III_DN_24_blend, 1.0
3970.07, HI_DN_24, 1.0
4047.0, Hg_ML, 1.0
4078.0, Hg_ML, 1.0
4101.74, HI_DN_25, 1.0
4340.47, HI_DN_41, 1.0
4358.0, Hg_ML, 1.0
4494.0, Na_I_HP_ML, 1.0
4498.0, Na_I_HP_ML, 1.0
4665.0, Na_I_HP_ML, 1.0
4669.0, Na_I_HP_ML, 1.0
4748.0, Na_I_HP_ML, 1.0
4752.0, Na_I_HP_ML, 1.0
4979.0, Na_I_HP_ML, 1.0
4983.0, Na_I_HP_ML, 1.0
5149.0, Na_I_HP_ML, 1.0
5153.0, Na_I_HP_ML, 1.0
4861.33, HI_DN_100, 1.0
4958.92, OIII_DN_113, 1.0
5006.85, OIII_DN_342, 1.0
5187.3957, 9-2_OH, 1.0
5187.3981, 9-2_OH, 1.0
5187.5126, 9-2_OH, 1.0
5187.744, 9-2_OH, 1.0
5189.2455, 9-2_OH, 1.0
5189.2706, 9-2_OH, 1.0
5189.4809, 9-2_OH, 1.0
5189.4958, 9-2_OH, 1.0
5190.0244, 9-2_OH, 1.0
5190.0629, 9-2_OH, 1.0
5191.5585, 9-2_OH, 1.0
5191.562, 9-2_OH, 1.0
5191.8179, 9-2_OH, 1.0
5193.8578, 9-2_OH, 1.0
5194.105, 9-2_OH, 1.0
5194.1474, 9-2_OH, 1.0
5200.5655, 9-2_OH, 1.0
5201.361, 9-2_OH, 1.0
5201.4428, 9-2_OH, 1.0
5202.0788, 9-2_OH, 1.0
5202.137, 9-2_OH, 1.0
5202.9636, 9-2_OH, 1.0
5202.9815, 9-2_OH, 1.0
5206.7235, 9-2_OH, 1.0
5206.8236, 9-2_OH, 1.0
5208.7527, 9-2_OH, 1.0
5208.8208, 9-2_OH, 1.0
5211.4737, 9-2_OH, 1.0
5214.4116, 9-2_OH, 1.0
5214.5215, 9-2_OH, 1.0
5217.0318, 9-2_OH, 1.0
5217.187, 9-2_OH, 1.0
5217.3605, 9-2_OH, 1.0
5217.4059, 9-2_OH, 1.0
5224.114, 9-2_OH, 1.0
5224.1558, 9-2_OH, 1.0
5224.2732, 9-2_OH, 1.0
5225.074, 9-2_OH, 1.0
5225.1562, 9-2_OH, 1.0
5227.9078, 9-2_OH, 1.0
5228.1883, 9-2_OH, 1.0
5232.1354, 9-2_OH, 1.0
5232.1704, 9-2_OH, 1.0
5238.6651, 9-2_OH, 1.0
5238.6824, 9-2_OH, 1.0
5238.703, 9-2_OH, 1.0
5238.7881, 9-2_OH, 1.0
5241.4705, 9-2_OH, 1.0
5241.9157, 9-2_OH, 1.0
5249.8645, 9-2_OH, 1.0
5249.8756, 9-2_OH, 1.0
5253.8532, 6-0_OH, 1.0
5253.8659, 6-0_OH, 1.0
5254.2652, 6-0_OH, 1.0
5254.2843, 6-0_OH, 1.0
5255.0297, 6-0_OH, 1.0
5255.0573, 6-0_OH, 1.0
5255.0869, 9-2_OH, 1.0
5255.6107, 6-0_OH, 1.0
5255.614, 6-0_OH, 1.0
5255.9528, 6-0_OH, 1.0
5255.9868, 6-0_OH, 1.0
5256.0116, 9-2_OH, 1.0
5256.1528, 9-2_OH, 1.0
5256.7399, 6-0_OH, 1.0
5256.752, 6-0_OH, 1.0
5256.752, 6-0_OH, 1.0
5256.7695, 6-0_OH, 1.0
5257.801, 9-2_OH, 1.0
5258.4473, 9-2_OH, 1.0
5259.4308, 6-0_OH, 1.0
5259.4606, 6-0_OH, 1.0
5259.5968, 6-0_OH, 1.0
5259.6245, 6-0_OH, 1.0
5261.1695, 6-0_OH, 1.0
5261.1787, 6-0_OH, 1.0
5265.4109, 6-0_OH, 1.0
5265.8854, 6-0_OH, 1.0
5265.9445, 6-0_OH, 1.0
5270.4825, 9-2_OH, 1.0
5270.5075, 9-2_OH, 1.0
5274.0688, 6-0_OH, 1.0
5274.1436, 6-0_OH, 1.0
5275.0503, 6-0_OH, 1.0
5275.0742, 6-0_OH, 1.0
5276.1366, 9-2_OH, 1.0
5276.3458, 9-2_OH, 1.0
5276.9883, 9-2_OH, 1.0
5278.1258, 6-0_OH, 1.0
5278.2512, 6-0_OH, 1.0
5279.9813, 6-0_OH, 1.0
5280.0703, 6-0_OH, 1.0
5284.8243, 6-0_OH, 1.0
5284.9606, 6-0_OH, 1.0
5287.0566, 6-0_OH, 1.0
5287.2574, 6-0_OH, 1.0
5291.1838, 6-0_OH, 1.0
5291.2252, 6-0_OH, 1.0
5293.9925, 9-2_OH, 1.0
5294.0654, 9-2_OH, 1.0
5294.083, 6-0_OH, 1.0
5294.1828, 6-0_OH, 1.0
5296.3678, 6-0_OH, 1.0
5296.7292, 6-0_OH, 1.0
5298.4661, 6-0_OH, 1.0
5298.5138, 6-0_OH, 1.0
5299.0657, 9-2_OH, 1.0
5299.1592, 9-2_OH, 1.0
5299.4455, 9-2_OH, 1.0
5305.8461, 6-0_OH, 1.0
5305.8619, 6-0_OH, 1.0
5306.5542, 6-0_OH, 1.0
5306.5773, 6-0_OH, 1.0
5307.986, 6-0_OH, 1.0
5308.5543, 6-0_OH, 1.0
5313.1855, 6-0_OH, 1.0
5313.2787, 6-0_OH, 1.0
5319.9784, 6-0_OH, 1.0
5320.0911, 6-0_OH, 1.0
5320.5733, 9-2_OH, 1.0
5321.9663, 6-0_OH, 1.0
5322.786, 6-0_OH, 1.0
5324.4243, 6-0_OH, 1.0
5324.4334, 6-0_OH, 1.0
5325.1557, 9-2_OH, 1.0
5325.5276, 9-2_OH, 1.0
5330.3165, 6-0_OH, 1.0
5330.4654, 6-0_OH, 1.0
5336.5339, 6-0_OH, 1.0
5338.3568, 6-0_OH, 1.0
5339.4713, 6-0_OH, 1.0
5344.7224, 6-0_OH, 1.0
5344.773, 6-0_OH, 1.0
5349.928, 6-0_OH, 1.0
5350.1399, 6-0_OH, 1.0
5354.684, 9-2_OH, 1.0
5367.4734, 6-0_OH, 1.0
5367.5731, 6-0_OH, 1.0
5372.0684, 6-0_OH, 1.0
5372.3504, 6-0_OH, 1.0
5392.7091, 6-0_OH, 1.0
5392.8659, 6-0_OH, 1.0
5396.781, 6-0_OH, 1.0
5397.139, 6-0_OH, 1.0
5420.6968, 6-0_OH, 1.0
5424.11, 6-0_OH, 1.0
5424.5503, 6-0_OH, 1.0
5461.0, Hg_ML, 1.0
5542.2038, 7-1_OH, 1.0
5542.2118, 7-1_OH, 1.0
5542.2277, 7-1_OH, 1.0
5542.2449, 7-1_OH, 1.0
5543.4124, 7-1_OH, 1.0
5543.445, 7-1_OH, 1.0
5544.5697, 7-1_OH, 1.0
5544.5866, 7-1_OH, 1.0
5544.5912, 7-1_OH, 1.0
5544.6032, 7-1_OH, 1.0
5544.8683, 7-1_OH, 1.0
5544.8778, 7-1_OH, 1.0
5544.8855, 7-1_OH, 1.0
5544.9169, 7-1_OH, 1.0
5549.1868, 7-1_OH, 1.0
5549.2222, 7-1_OH, 1.0
5549.3356, 7-1_OH, 1.0
5549.4702, 7-1_OH, 1.0
5549.5115, 7-1_OH, 1.0
5556.9188, 7-1_OH, 1.0
5562.9327, 7-1_OH, 1.0
5563.0114, 7-1_OH, 1.0
5563.9795, 7-1_OH, 1.0
5564.0043, 7-1_OH, 1.0
5567.4258, 7-1_OH, 1.0
5567.5566, 7-1_OH, 1.0
5569.4918, 7-1_OH, 1.0
5569.5824, 7-1_OH, 1.0
5574.8537, 7-1_OH, 1.0
5574.9964, 7-1_OH, 1.0
5577.3894, 7-1_OH, 1.0
5577.5948, 7-1_OH, 1.0
5579.0, OI_AN, 1.0
5581.191, 7-1_OH, 1.0
5581.2365, 7-1_OH, 1.0
5585.1332, 7-1_OH, 1.0
5585.2408, 7-1_OH, 1.0
5587.7735, 7-1_OH, 1.0
5588.1446, 7-1_OH, 1.0
5589.1018, 7-1_OH, 1.0
5589.1509, 7-1_OH, 1.0
5597.771, 7-1_OH, 1.0
5597.8002, 7-1_OH, 1.0
5598.2099, 7-1_OH, 1.0
5598.2318, 7-1_OH, 1.0
5600.7277, 7-1_OH, 1.0
5601.3126, 7-1_OH, 1.0
5605.0932, 7-1_OH, 1.0
