Wavelength, Species, Priority
3000.2054, Fe1, 0.358
3000.3785, Fe1, 0.474
3000.4511, Fe1, 0.99
3000.4682, Fe1, 0.909
3000.5475, Co1, 0.948
3000.5765, Fe1, 0.919
3000.6671, Ni2, 0.256
3000.8634, Ca1, 0.932
3000.8653, Ti1, 0.949
3000.884, Cr1, 0.979
3000.9476, Fe1, 0.995
3001.0501, Fe1, 0.38
3001.2041, V2, 0.955
3001.6477, Fe1, 0.926
3001.7452, Fe1, 0.946
3001.7501, V2, 0.739
3001.786, Fe1, 0.883
3001.8335, Fe1, 0.475
3001.8677, Ti1, 0.201
3001.9264, Fe1, 0.851
3001.9412, V2, 0.291
3002.0243, OH1, 0.288
3002.0284, Fe1, 0.602
3002.1939, OH1, 0.276
3002.2643, Pt1, 0.294
3002.3192, Fe2, 0.886
3002.406, Er2, 0.477
3002.409, Fe1, 0.876
3002.4286, Fe1, 0.432
3002.4854, Ni1, 0.995
3002.6182, Mn1, 0.511
3002.6445, Fe2, 0.993
3002.649, Pd1, 0.249
3002.654, V1, 0.218
3002.7253, Ti1, 0.481
3002.862, Gd2, 0.284
3003.0305, Fe1, 0.993
3003.2517, Fe1, 0.23
3003.3037, Fe1, 0.208
3003.3407, Fe1, 0.547
3003.4639, V2, 0.918
3003.6209, Ni1, 0.995
3003.6855, Fe1, 0.965
3003.733, Zr2, 0.887
3003.846, Fe1, 0.366
3003.9113, Cr2, 0.883
3003.9955, Cr1, 0.735
3004.0737, Fe1, 0.904
3004.1133, Fe1, 0.964
3004.2555, Fe2, 0.837
3004.3229, OH1, 0.264
3004.3736, Ca1, 0.775
3004.4647, Cr2, 0.353
3004.6282, Fe1, 0.97
3004.6859, Fe1, 0.238
3004.8529, Fe1, 0.254
3005.014, Fe1, 0.424
3005.061, Cr1, 0.976
3005.3025, Fe1, 0.969
3005.7228, Fe1, 0.934
3005.7653, Co1, 0.822
3005.7825, Fe1, 0.766
3005.8117, V2, 0.72
3005.8418, Cr1, 0.273
3005.9213, OH1, 0.251
3005.973, Fe1, 0.917
3005.9758, Co1, 0.402
3006.1752, OH1, 0.293
3006.3199, Ca1, 0.948
3006.3706, Ca1, 0.908
3006.3968, Ca1, 0.526
3006.4476, Fe1, 0.538
3006.4996, V2, 0.449
3006.5381, Fe1, 0.897
3006.541, Fe1, 0.937
3006.5968, Fe1, 0.916
3006.6049, Fe1, 0.907
3006.6382, Fe1, 0.886
3006.6616, Fe1, 0.56
3006.7385, Si1, 0.953
3006.8614, Ca1, 0.956
3007.1029, Cr1, 0.27
3007.1452, Fe1, 0.989
3007.2823, Fe1, 0.994
3007.2997, V2, 0.738
3007.4841, Fe1, 0.82
3007.6528, Mn1, 0.723
3007.7508, Fe1, 0.612
3007.9633, Cr2, 0.22
3007.972, Nd2, 0.207
3008.108, Zr2, 0.219
3008.1243, Fe1, 0.95
3008.1379, Fe1, 0.995
3008.2593, Mn1, 0.685
3008.3115, Ti2, 0.865
3008.3263, Cr2, 0.475
3008.4813, Fe1, 0.905
3008.4939, Fe1, 0.791
3008.5092, V2, 0.448
3008.6143, V2, 0.884
3008.6513, OH1, 0.233
3008.683, Cr2, 0.309
3008.694, Fe1, 0.846
3008.7862, Ce2, 0.324
3008.7974, Fe1, 0.449
3009.0501, Ca1, 0.865
3009.0741, OH1, 0.273
3009.0908, Ca1, 0.713
3009.0931, Fe1, 0.976
3009.134, Sn1, 0.64
3009.152, Fe1, 0.524
3009.2056, Ca1, 0.936
3009.4763, Fe1, 0.745
3009.5691, Fe1, 0.994
3009.6803, Fe1, 0.801
3009.848, Zr2, 0.503
3010.13, Gd2, 0.804
3010.173, Fe1, 0.964
3010.1844, Fe1, 0.57
3010.216, Fe2, 0.334
3010.265, Zr2, 0.516
3010.4224, Ni1, 0.887
3010.4511, Cr1, 0.467
3010.8349, Cu1, 0.556
3011.1629, Mn1, 0.644
3011.2707, Fe1, 0.943
3011.3715, Mn1, 0.843
3011.4184, Cr2, 0.736
3011.4664, Fe1, 0.917
3011.481, Fe1, 0.979
3011.7277, Fe1, 0.853
3011.75, Zr1, 0.418
3012.0006, Ni1, 0.995
3012.0227, V2, 0.748
3012.3276, Cr2, 0.221
3012.4416, Fe1, 0.971
3012.478, Er2, 0.229
3012.552, Ta2, 0.493
3012.7118, Fe1, 0.743
3012.8548, Mn1, 0.327
3012.897, Hf2, 0.703
3012.9307, Fe1, 0.552
3012.9401, Fe1, 0.919
3013.029, Cr1, 0.954
3013.088, Ni1, 0.834
3013.1043, V2, 0.915
3013.2646, Fe1, 0.249
3013.323, Zr2, 0.561
3013.4615, Cr1, 0.324
3013.4914, Fe1, 0.913
3013.5932, Co1, 0.967
3013.5962, Cr1, 0.281
3013.712, Cr1, 0.978
3013.7998, Fe2, 0.318
3013.8447, OH1, 0.245
3013.9523, OH1, 0.279
3014.1049, Fe1, 0.306
3014.145, Fe1, 0.671
3014.1462, Fe1, 0.371
3014.166, Nd2, 0.273
3014.1732, Fe1, 0.975
3014.2594, Fe1, 0.417
3014.3143, Fe1, 0.934
3014.6464, Fe1, 0.829
3014.6604, Mn1, 0.761
3014.765, Cr1, 0.981
3014.8205, V2, 0.938
3014.914, Cr1, 0.985
3015.1821, Mn1, 0.233
3015.196, Cr1, 0.979
3015.3305, Fe1, 0.829
3015.368, Sc1, 0.746
3015.4392, Fe1, 0.356
3015.4952, Cr2, 0.896
3015.6347, S1, 0.21
3015.682, Dy2, 0.21
3015.6841, Co1, 0.768
3015.9186, Fe1, 0.97
3015.9427, OH1, 0.234
3015.9965, V2, 0.773
3016.1148, Fe1, 0.465
3016.1417, V2, 0.858
3016.1845, Fe1, 0.992
3016.2013, V1, 0.363
3016.2914, Fe1, 0.544
3016.3406, Fe1, 0.901
3016.4511, Mn1, 0.85
3016.7293, OH1, 0.261
3016.7801, V2, 0.934
3016.839, Er2, 0.237
3017.1834, Ti2, 0.969
3017.2033, OH1, 0.224
3017.2555, Co1, 0.9
3017.2583, Fe1, 0.951
3017.307, Fe1, 0.609
3017.417, Fe1, 0.951
3017.493, Fe1, 0.906
3017.5473, Co1, 0.979
3017.574, Cr1, 0.987
3017.627, Fe1, 0.994
3017.7637, Cr2, 0.622
3017.8559, Fe1, 0.94
3017.9481, Ni1, 0.927
3018.036, Os1, 0.656
3018.1351, Fe1, 0.954
3018.2122, Fe2, 0.223
3018.2466, Fe1, 0.915
3018.355, Zn1, 0.28
3018.491, Cr1, 0.973
3018.5787, Ca1, 0.894
3018.6707, Ca1, 0.699
3018.6984, Fe1, 0.673
3018.818, Cr1, 0.967
3018.9828, Fe1, 0.993
3019.1433, Ni1, 0.993
3019.2221, Fe1, 0.904
3019.2456, Fe1, 0.937
3019.2579, Ca1, 0.271
3019.2875, Fe1, 0.96
3019.3218, Fe1, 0.853
3019.351, Sc1, 0.818
3019.832, Zr2, 0.88
3019.8911, OH1, 0.207
3019.9271, Mn2, 0.824
3019.9325, Fe1, 0.904
3020.0041, Si1, 0.97
3020.0044, Fe2, 0.368
3020.138, Fe1, 0.696
3020.2319, Ca1, 0.686
3020.452, Zr2, 0.889
3020.4905, Fe1, 0.995
3020.5593, Fe1, 0.385
3020.6387, Fe1, 0.995
3020.6617, V2, 0.854
3020.6637, Fe1, 0.674
3020.668, Cr1, 0.975
3020.6972, Fe1, 0.79
3020.7133, Fe1, 0.714
3020.801, Fe1, 0.203
3020.9172, Fe1, 0.217
3021.0724, Fe1, 0.995
3021.3869, Fe2, 0.299
3021.4171, Fe2, 0.852
3021.559, Cr1, 0.988
3021.7203, Ni1, 0.46
