strengths wavelengths species
0.358 3000.2054 "Fe 1"
0.474 3000.3785 "Fe 1"
0.99 3000.4511 "Fe 1"
0.909 3000.4682 "Fe 1"
0.948 3000.5475 "Co 1"
0.919 3000.5765 "Fe 1"
0.256 3000.6671 "Ni 2"
0.932 3000.8634 "Ca 1"
0.949 3000.8653 "Ti 1"
0.979 3000.884 "Cr 1"
0.995 3000.9476 "Fe 1"
0.38 3001.0501 "Fe 1"
0.955 3001.2041 "V 2"
0.926 3001.6477 "Fe 1"
0.946 3001.7452 "Fe 1"
0.739 3001.7501 "V 2"
0.883 3001.786 "Fe 1"
0.475 3001.8335 "Fe 1"
0.201 3001.8677 "Ti 1"
0.851 3001.9264 "Fe 1"
0.291 3001.9412 "V 2"
0.288 3002.0243 "OH 1"
0.602 3002.0284 "Fe 1"
0.276 3002.1939 "OH 1"
0.294 3002.2643 "Pt 1"
0.886 3002.3192 "Fe 2"
0.477 3002.406 "Er 2"
0.876 3002.409 "Fe 1"
0.432 3002.4286 "Fe 1"
0.995 3002.4854 "Ni 1"
0.511 3002.6182 "Mn 1"
0.993 3002.6445 "Fe 2"
0.249 3002.649 "Pd 1"
0.218 3002.654 "V 1"
0.481 3002.7253 "Ti 1"
0.284 3002.862 "Gd 2"
0.993 3003.0305 "Fe 1"
0.23 3003.2517 "Fe 1"
0.208 3003.3037 "Fe 1"
0.547 3003.3407 "Fe 1"
0.918 3003.4639 "V 2"
0.995 3003.6209 "Ni 1"
0.965 3003.6855 "Fe 1"
0.887 3003.733 "Zr 2"
0.366 3003.846 "Fe 1"
0.883 3003.9113 "Cr 2"
0.735 3003.9955 "Cr 1"
0.904 3004.0737 "Fe 1"
0.964 3004.1133 "Fe 1"
0.837 3004.2555 "Fe 2"
0.264 3004.3229 "OH 1"
0.775 3004.3736 "Ca 1"
0.353 3004.4647 "Cr 2"
0.97 3004.6282 "Fe 1"
0.238 3004.6859 "Fe 1"
0.254 3004.8529 "Fe 1"
0.424 3005.014 "Fe 1"
0.976 3005.061 "Cr 1"
0.969 3005.3025 "Fe 1"
0.934 3005.7228 "Fe 1"
0.822 3005.7653 "Co 1"
0.766 3005.7825 "Fe 1"
0.72 3005.8117 "V 2"
0.273 3005.8418 "Cr 1"
0.251 3005.9213 "OH 1"
0.917 3005.973 "Fe 1"
0.402 3005.9758 "Co 1"
0.293 3006.1752 "OH 1"
0.948 3006.3199 "Ca 1"
0.908 3006.3706 "Ca 1"
0.526 3006.3968 "Ca 1"
0.538 3006.4476 "Fe 1"
0.449 3006.4996 "V 2"
0.897 3006.5381 "Fe 1"
0.937 3006.541 "Fe 1"
0.916 3006.5968 "Fe 1"
0.907 3006.6049 "Fe 1"
0.886 3006.6382 "Fe 1"
0.56 3006.6616 "Fe 1"
0.953 3006.7385 "Si 1"
0.956 3006.8614 "Ca 1"
0.27 3007.1029 "Cr 1"
0.989 3007.1452 "Fe 1"
0.994 3007.2823 "Fe 1"
0.738 3007.2997 "V 2"
0.82 3007.4841 "Fe 1"
0.723 3007.6528 "Mn 1"
0.612 3007.7508 "Fe 1"
0.22 3007.9633 "Cr 2"
0.207 3007.972 "Nd 2"
0.219 3008.108 "Zr 2"
0.95 3008.1243 "Fe 1"
0.995 3008.1379 "Fe 1"
0.685 3008.2593 "Mn 1"
0.865 3008.3115 "Ti 2"
0.475 3008.3263 "Cr 2"
0.905 3008.4813 "Fe 1"
0.791 3008.4939 "Fe 1"
0.448 3008.5092 "V 2"
0.884 3008.6143 "V 2"
0.233 3008.6513 "OH 1"
0.309 3008.683 "Cr 2"
0.846 3008.694 "Fe 1"
0.324 3008.7862 "Ce 2"
0.449 3008.7974 "Fe 1"
0.865 3009.0501 "Ca 1"
0.273 3009.0741 "OH 1"
0.713 3009.0908 "Ca 1"
0.976 3009.0931 "Fe 1"
0.64 3009.134 "Sn 1"
0.524 3009.152 "Fe 1"
0.936 3009.2056 "Ca 1"
0.745 3009.4763 "Fe 1"
0.994 3009.5691 "Fe 1"
0.801 3009.6803 "Fe 1"
0.503 3009.848 "Zr 2"
0.804 3010.13 "Gd 2"
0.964 3010.173 "Fe 1"
0.57 3010.1844 "Fe 1"
0.334 3010.216 "Fe 2"
0.516 3010.265 "Zr 2"
0.887 3010.4224 "Ni 1"
0.467 3010.4511 "Cr 1"
0.556 3010.8349 "Cu 1"
0.644 3011.1629 "Mn 1"
0.943 3011.2707 "Fe 1"
0.843 3011.3715 "Mn 1"
0.736 3011.4184 "Cr 2"
0.917 3011.4664 "Fe 1"
0.979 3011.481 "Fe 1"
0.853 3011.7277 "Fe 1"
0.418 3011.75 "Zr 1"
0.995 3012.0006 "Ni 1"
0.748 3012.0227 "V 2"
0.221 3012.3276 "Cr 2"
0.971 3012.4416 "Fe 1"
0.229 3012.478 "Er 2"
0.493 3012.552 "Ta 2"
0.743 3012.7118 "Fe 1"
0.327 3012.8548 "Mn 1"
0.703 3012.897 "Hf 2"
0.552 3012.9307 "Fe 1"
0.919 3012.9401 "Fe 1"
0.954 3013.029 "Cr 1"
0.834 3013.088 "Ni 1"
0.915 3013.1043 "V 2"
0.249 3013.2646 "Fe 1"
0.561 3013.323 "Zr 2"
0.324 3013.4615 "Cr 1"
0.913 3013.4914 "Fe 1"
0.967 3013.5932 "Co 1"
0.281 3013.5962 "Cr 1"
0.978 3013.712 "Cr 1"
0.318 3013.7998 "Fe 2"
0.245 3013.8447 "OH 1"
0.279 3013.9523 "OH 1"
0.306 3014.1049 "Fe 1"
0.671 3014.145 "Fe 1"
0.371 3014.1462 "Fe 1"
0.273 3014.166 "Nd 2"
0.975 3014.1732 "Fe 1"
0.417 3014.2594 "Fe 1"
0.934 3014.3143 "Fe 1"
0.829 3014.6464 "Fe 1"
0.761 3014.6604 "Mn 1"
0.981 3014.765 "Cr 1"
0.938 3014.8205 "V 2"
0.985 3014.914 "Cr 1"
0.233 3015.1821 "Mn 1"
0.979 3015.196 "Cr 1"
0.829 3015.3305 "Fe 1"
0.746 3015.368 "Sc 1"
0.356 3015.4392 "Fe 1"
0.896 3015.4952 "Cr 2"
0.21 3015.6347 "S 1"
0.21 3015.682 "Dy 2"
0.768 3015.6841 "Co 1"
0.97 3015.9186 "Fe 1"
0.234 3015.9427 "OH 1"
0.773 3015.9965 "V 2"
0.465 3016.1148 "Fe 1"
0.858 3016.1417 "V 2"
0.992 3016.1845 "Fe 1"
0.363 3016.2013 "V 1"
0.544 3016.2914 "Fe 1"
0.901 3016.3406 "Fe 1"
0.85 3016.4511 "Mn 1"
0.261 3016.7293 "OH 1"
0.934 3016.7801 "V 2"
0.237 3016.839 "Er 2"
0.969 3017.1834 "Ti 2"
0.224 3017.2033 "OH 1"
0.9 3017.2555 "Co 1"
0.951 3017.2583 "Fe 1"
0.609 3017.307 "Fe 1"
0.951 3017.417 "Fe 1"
0.906 3017.493 "Fe 1"
0.979 3017.5473 "Co 1"
0.987 3017.574 "Cr 1"
0.994 3017.627 "Fe 1"
0.622 3017.7637 "Cr 2"
0.94 3017.8559 "Fe 1"
0.927 3017.9481 "Ni 1"
0.656 3018.036 "Os 1"
0.954 3018.1351 "Fe 1"
0.223 3018.2122 "Fe 2"
0.915 3018.2466 "Fe 1"
0.28 3018.355 "Zn 1"
0.973 3018.491 "Cr 1"
0.894 3018.5787 "Ca 1"
0.699 3018.6707 "Ca 1"
0.673 3018.6984 "Fe 1"
0.967 3018.818 "Cr 1"
0.993 3018.9828 "Fe 1"
0.993 3019.1433 "Ni 1"
0.904 3019.2221 "Fe 1"
0.937 3019.2456 "Fe 1"
0.271 3019.2579 "Ca 1"
0.96 3019.2875 "Fe 1"
0.853 3019.3218 "Fe 1"
0.818 3019.351 "Sc 1"
0.88 3019.832 "Zr 2"
0.207 3019.8911 "OH 1"
0.824 3019.9271 "Mn 2"
0.904 3019.9325 "Fe 1"
0.97 3020.0041 "Si 1"
0.368 3020.0044 "Fe 2"
0.696 3020.138 "Fe 1"
0.686 3020.2319 "Ca 1"
0.889 3020.452 "Zr 2"
0.995 3020.4905 "Fe 1"
0.385 3020.5593 "Fe 1"
0.995 3020.6387 "Fe 1"
0.854 3020.6617 "V 2"
0.674 3020.6637 "Fe 1"
0.975 3020.668 "Cr 1"
0.79 3020.6972 "Fe 1"
0.714 3020.7133 "Fe 1"
0.203 3020.801 "Fe 1"
0.217 3020.9172 "Fe 1"
0.995 3021.0724 "Fe 1"
0.299 3021.3869 "Fe 2"
0.852 3021.4171 "Fe 2"
0.988 3021.559 "Cr 1"
0.46 3021.7203 "Ni 1"
0.496 3021.7217 "Mn 2"
0.25 3022.035 "Zr 2"
0.526 3022.2597 "Fe 1"
0.262 3022.3355 "OH 1"
0.468 3022.3532 "Co 1"
0.881 3022.3663 "Fe 1"
0.851 3022.586 "V 2"
0.413 3022.6358 "Ti 2"
0.321 3022.7119 "Fe 1"
0.902 3022.7438 "Mn 1"
0.362 3023.4393 "Fe 1"
0.339 3023.5859 "Fe 1"
0.583 3023.6685 "Ti 2"
0.804 3023.7211 "Ni 1"
0.237 3023.7846 "Cr 1"
0.677 3023.8359 "Fe 2"
0.664 3023.8898 "V 2"
0.994 3024.0324 "Fe 1"
0.88 3024.2255 "Fe 1"
0.509 3024.3344 "Fe 1"
0.98 3024.3482 "Cr 1"
0.342 3024.4201 "Fe 1"
0.406 3024.635 "Bi 1"
0.574 3024.6611 "Cr 1"
0.214 3024.6889 "Fe 1"
0.761 3024.7473 "Fe 1"
0.881 3024.7991 "Fe 1"
0.823 3024.9497 "Ca 1"
0.71 3024.9814 "V 2"
0.605 3024.9991 "Ca 1"
0.246 3025.0094 "OH 1"
0.219 3025.0573 "Ti 1"
0.232 3025.164 "Zr 2"
0.518 3025.2493 "Fe 1"
0.359 3025.2579 "Cr 1"
0.296 3025.2781 "Fe 1"
0.978 3025.2795 "Fe 1"
0.981 3025.403 "Cr 1"
0.988 3025.6362 "Fe 1"
0.477 3025.707 "Zr 2"
0.995 3025.8422 "Fe 1"
0.281 3025.8815 "Cr 1"
0.28 3025.954 "Er 2"
0.279 3025.989 "Fe 2"
0.218 3026.16 "Dy 2"
0.21 3026.2216 "OH 1"
0.425 3026.2343 "Fe 1"
0.911 3026.3719 "Co 1"
0.993 3026.4618 "Fe 1"
0.233 3026.478 "Nd 2"
0.917 3026.6392 "Cr 2"
0.793 3026.8279 "Cr 2"
0.799 3026.9357 "Fe 1"
0.882 3027.0122 "Fe 1"
0.806 3027.5889 "Fe 1"
0.734 3027.601 "Gd 2"
0.502 3027.6035 "V 2"
0.86 3027.7007 "Fe 1"
0.916 3027.8571 "Fe 1"
0.449 3027.91 "Pd 1"
0.716 3028.0046 "Fe 1"
